Cod interno;Descripcion;Precio Lista
522/2;Mosquita Muerta Blanco x 750ml;13010,06
523;Sapo de otro Pozo 750ml;9316,25
528;Malcriado malbec 750cc;25785,11
573;Compartido Blend 750ml;6158,75
574;Compartido Malbec 750ml;6158,75
575;Aristides Malbec 750ml;5580
576;Aristides Cabernet 750ml;5580
577;Aristides Merlot 750ml;5580
578;Aristides Bonarda 750ml;5580
579;Aristides Blend Rose 750ml;5580
582;Aristides Amistelado 500ml;17926,25
585;Partida Unica Mix 750ml;17616,25
586;Partida Unica Pinot 750ml;18487,5
586/1;Partida Unica Petit Verdot 750ml;18487,5
587;Partida Unica Tempranillo 750ml;18487,5
588;Partida Unica Sauvignon Blanc 750ml;18487,5
589;Alto Uxmal Malbec 750ml;7670
589/1;Alto Uxmal Cab. Merlot 750ml;7670
590;Uxmal Malbec 750cc;4886,25
592;Uxmal Moscatel de Alejandria 750cc;2707,5
593;Estiba I Malbec 750cc;4857,5
594;Estiba I Cabernet S. 750cc;4857,5
595;Estiba I Chardonnay 750cc;5246,1
596;El Enemigo Malbec 750cc;20191,6
597;Gran Enemigo Chacayes 750cc;41979,85
597/1;Gran Enemigo el Cepillo x750ml;29949,4
598;Animal Malbec 750 ml;10674,3
599;Animal Cabernet S. 750 ml;10446,8
673;Alma Negra Blend 750cc;22493,75
675;Padrillos Malbec 750cc;5958,75
676;Padrillos Trifeta blend blanc 750cc;5708,75
712;Catena Zapata Malbec Arg. x 750 ml;61386,72
713;Nicola Catena Bonarda x 750 ml;42987,5
714;Angelica Zapata Malbec x 750ml;27691,25
715;Angelica Zapata Cab. Franc x 750ml;28910
719;Chacabuco Malbec 750ml;2260,73
720;Chacabuco Cabernet S. 750ml;3266,25
721;Chacabuco Sauvignon Blanc 750ml;3266,25
721/2;Chacabuco Voignier 750cc;2752,5
722;Chacabuco Chenin Dulce x 750ml;3520,38
722/1;Chacabuco Rose 750cc;3143,75
722/2;Chacabuco Chenin Dulce x 500ml;3184,02
722/3;Chacabuco Rose x 500 ml;2992,5
724;Los Haroldos malbec 750cc;3953,75
725;Los Haroldos Cabernet 750cc;3953,75
726;Los Haroldos Bonarda 750cc;3953,75
726/1;Los Haroldos Chardonnay 750ml;3953,75
727;Los Haroldos Estate blend 750cc;3953,75
728;Los Haroldos Estate S. blanc 750cc;3953,75
729;Los Haroldos Reserva Malbec 750cc;5343,75
730;Los Haroldos Reserva Cab. 750cc;5343,75
731;Los Haroldos Reserva Cab. Franc 750cc;5290
733;Ferus Malbec x 750ml;10740,6
734;Fausto Malbec 750cc;13595,4
734/1;Fausto Mal - Cab Franc 750cc;12789,4
735;Hermandad Malbec 750ml;21387,6
736;Hermandad Blend 750ml;21387,6
737;Gran Corte Los Haroldos 750cc;6973,2
738;Hermandad Chardonnay 750ml;21387,6
739;Ferus Blanc de Blanc 750cc;7527
741;Bressano Tri malbec 750ml;47663,75
742;Hermandad Winemaker Petit V. 750cc;21907,2
742/1;Hermandad Winemaker Pinot.N. 750cc;19060
742/2;Hermanda Winemaker cab. franc 750ml;20310
743;Chateau Subsonico x4 750cc;6916
743/1;Chateau Subsonico Pedro G. x4 750cc;5925
760;Signum Malbec x 750ml;3642,6
761;Signum Malbec Rose x 750ml;3642,6
762;Cantus Malbec x 750ml;2579,2
763;Cantus Chenin Dulce x 750ml;2579,2
1010;BELVEDERE PURE 700ml;83125
110;Smirnoff Raspberry x 700ml;8278,4
111;Smirnoff Apple x 700ml;8278,4
112;Smirnoff Clasico x 700ml;7446,4
390;Maleficio Vodka x 750ml;5709,2
391;Maleficio Vodka Frambuesa x 750ml;6123,6
392;Maleficio Vodka Mango x 750ml;6123,6
399;Vodka Criadores x 750 ml;2973,1
412;Vodka Workers x 750ml;2743,2
424;Vodka SKYY Pineapple 750ml;6650
427;Vodka SKYY Raspberry 750ml;6650
428;Vodka SKYY Passion Fruit 750ml;6650
429;Vodka SKYY Blood Orange 750ml;6650
430;Bols Vodka 750ml;4641,7
433;Bols Vodka Raspberry 750ml;5027,4
440;Vodka SKYY Clasico 750ml;5997,5
441;Grey Goose Vodka 750ml;73810,94
441/1;Grey Goose Strawberry x 1 lt;73810,94
441/2;Grey Goose Pear x 1 lt;73810,94
449;Vodka SKYY Apricot 750ml;6650
451;Vodka SKYY Coconut 750ml;6650
470;Ciroc Clasico 750cc;49210
470/1;Ciroc Berry x 750ml;46250
620;Sernova Clasico 700ml;6665
622;Sernova Sweet Apple 700ml;7397,5
623;Sernova Wild Berries 700ml;7397,5
193;Jim Beam White x750;33819,24
194;Jim Beam Black x750;56898,73
195;Jim Beam Honey x750;33819,24
196;Grants Triple Wood x750;25680,97
